Supermercado,Producto,Precio
Carrefour,Ajo,"$ 7.690,00"
Carrefour,Tomate,"$ 5.499,00"
Carrefour,Sandía,"$ 2.499,00"
Carrefour,Rúcula,"$ 699,00"
Carrefour,Acelga,"$ 1.189,00"
Carrefour,Cebolla,"$ 1.799,00"
Carrefour,Lechuga,"$ 5.599,00"
Carrefour,Lechuga,"$ 1.899,00"
Carrefour,Lima,"$ 2.999,00"
Carrefour,Maní,"$ 5.290,00"
Carrefour,Snack,"$ 535,00"
Carrefour,Chaucha,"$ 4.999,00"
Carrefour,Chaucha,"$ 4.999,00"
Carrefour,Limon,"$ 1.199,00"
Carrefour,Ciruelas,"$ 1.290,00"
Carrefour,Almendras,"$ 1.800,00"
Carrefour,Pera,"$ 2.290,00"
Carrefour,Ciruelas,"$ 1.500,00"
Carrefour,Maní,"$ 5.190,00"
Carrefour,Piña,"$ 1.799,00"
Carrefour,Mix,"$ 2.660,00"
Carrefour,Almendras,"$ 2.890,00"
Carrefour,Nueces,"$ 2.450,00"
Carrefour,Repollo,"$ 1.499,00"
Carrefour,Chip,"$ 1.990,00"
Carrefour,Nueces,"$ 8.990,00"
Carrefour,Castañas,"$ 4.690,00"
Carrefour,Hongos,"$ 1.690,00"
Carrefour,Mix,"$ 1.450,00"
Carrefour,Tomates,"$ 2.229,00"
Carrefour,Almendras,"$ 11.900,00"
Carrefour,Ají,"$ 3.999,00"
Carrefour,Mix,"$ 1.690,00"
Carrefour,Albahaca,"$ 1.549,00"
Carrefour,Castañas,"$ 11.900,00"
Carrefour,Castañas,"$ 26.990,00"
Carrefour,Mix,"$ 4.539,00"
Carrefour,Ensalada,"$ 3.799,00"
Carrefour,Mix,"$ 3.590,00"
Carrefour,Coco,"$ 2.999,00"
Carrefour,Frutos,"$ 1.990,00"
Carrefour,Ensalada,"$ 2.999,00"
Carrefour,Mix,"$ 4.500,00"
Carrefour,Pasas,"$ 2.990,00"
Carrefour,Kale,"$ 2.699,00"
Carrefour,Ensalada,"$ 2.999,00"
Carrefour,Ensalada,"$ 4.099,00"
Carrefour,Mix,"$ 8.990,00"
Carrefour,Batata,"$ 1.100,00"
Carrefour,Ajo,"$ 7.690,00"
Carrefour,Tomate,"$ 5.499,00"
Carrefour,Sandía,"$ 2.499,00"
Carrefour,Naranja,"$ 999,00"
Carrefour,Rúcula,"$ 1.890,00"
Carrefour,Acelga,"$ 699,00"
Carrefour,Cebolla,"$ 1.189,00"
Carrefour,Berenjena,"$ 1.799,00"
Carrefour,Lechuga,"$ 3.499,00"
Carrefour,Lechuga,"$ 5.599,00"
Carrefour,Lechuga,"$ 1.899,00"
Carrefour,Lima,"$ 2.999,00"
Carrefour,Maní,"$ 5.290,00"
Carrefour,Almendras,"$ 4.990,00"
Carrefour,Snack,"$ 535,00"
Carrefour,Chaucha,"$ 4.999,00"
Carrefour,Chaucha,"$ 4.999,00"
Carrefour,Pasas,"$ 1.890,00"
Carrefour,Mandioca,"$ 1.400,00"
Carrefour,Limon,"$ 1.199,00"
Carrefour,Ciruelas,"$ 1.290,00"
Carrefour,Almendras,"$ 1.800,00"
Carrefour,Pera,"$ 2.290,00"
Carrefour,Champignones,"$ 2.099,00"
Carrefour,Ciruelas,"$ 2.499,00"
Carrefour,Maní,"$ 1.500,00"
Carrefour,Piña,"$ 5.190,00"
Carrefour,Tomate,"$ 1.799,00"
Carrefour,Plátano,"$ 3.290,00"
Carrefour,Mix,"$ 2.660,00"
Carrefour,Almendras,"$ 2.890,00"
Carrefour,Nueces,"$ 2.450,00"
Carrefour,Repollo,"$ 1.499,00"
Carrefour,Chip,"$ 1.990,00"
Carrefour,Nueces,"$ 8.990,00"
Carrefour,Castañas,"$ 4.690,00"
Carrefour,Hongos,"$ 1.690,00"
Carrefour,Pasas,"$ 1.390,00"
Carrefour,Mix,"$ 3.399,00"
Carrefour,Mix,"$ 1.450,00"
Carrefour,Tomates,"$ 2.229,00"
Carrefour,Almendras,"$ 11.900,00"
Carrefour,Ají,"$ 3.999,00"
Carrefour,Mix,"$ 1.690,00"
Carrefour,Albahaca,"$ 1.549,00"
Carrefour,Castañas,"$ 11.900,00"
Carrefour,Castañas,"$ 26.990,00"
Carrefour,Palta,$9990.00
La_anonima,Zapallo,"$ 6.249,00"
La_anonima,Pomelo,"$ 4.999,20"
La_anonima,Remolacha,"$730,00"
La_anonima,Zapallo,"$ 599,00"
La_anonima,Repollo,"$2.500,00"
