UserID,Product,Quantity,Date,Category,Price,Palabra_Clave,Supermercado,ProductID,ClaveID
1431,Jabón Líquido Naturals Nutrición Repuesto Palmolive X 221 Cc.,1,2023-04-15,Perfumeria,$2350,Jabón,La Anónima,1,1
1521,Caldo De Gallina Con Vegetales Knorr X 114 G.,3,2023-11-26,Almacen,$1500,Caldo,Carrefour,2,2
1735,Colonia Crystal Ciel X 80 Cc.,3,2023-03-14,Perfumeria,$2502,Colonia,Jumbo,3,3
1220,Cerveza Grolsch Lata X 473 Cc.,3,2023-05-11,Bebidas,$3599,Cerveza,Jumbo,4,4
1597,Peceto Feteado E/V Best (Kg),3,2023-07-15,Carniceria,$12264,Peceto,La Anónima,5,5
1169,Coloración Negro Ultra Brillo Extremo T 1 Issue X 1 Un.,2,2023-08-26,Perfumeria,$16650,Coloración,La Anónima,6,6
1458,Copos De Maíz Granix X 400 G.,1,2023-12-18,Almacen,$1972,Copos,Carrefour,7,7
1143,Capellettis Lucchettinis Espinaca-Queso Lucchetti X 500 G.,3,2023-04-06,Almacen,$1720,Capellettis,Carrefour,8,8
1530,Tostaditas De Arroz Choco Y Naranja Arrocitas X 70 G.,1,2023-11-18,Almacen,$2189,Tostaditas,La Anónima,9,9
1035,Acondicionador Reparación Total 5 Elvive X 200 Cc.,3,2023-04-18,Perfumeria,$1080,Acondicionador,Carrefour,10,10
1061,Crema Corporal Milk Nutritiva Nivea X 625 Cc.,3,2023-09-22,Perfumeria,$8600,Crema,Carrefour,11,11
1799,Sémola De Trigo Elio X 400 G.,3,2023-07-07,Almacen,$1679,Sémola,Carrefour,12,12
1580,Vaso De Baño Piedra X 1 Un.,3,2023-12-01,Hogar,$1339,Vaso,Carrefour,13,13
1077,Lápiz Grafito Candy Pop Triangular  Con Goma Paper Mate X 4 Un.,1,2023-01-18,Hogar,$3399,Lápiz,Jumbo,14,14
1013,Aperitivo Punt E Mes X 750 Cc.,2,2023-08-22,Bebidas,$3900,Aperitivo,Jumbo,15,15
1924,Vino Espumante Extra Brut Deseado X 750 Cc.,3,2023-07-11,Bebidas,$18725,Vino,La Anónima,16,16
1874,Termo Sport Atom X 1 Un.,2,2023-09-02,Hogar,$3740,Termo,La Anónima,17,17
